Station Date,Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2/1/2015,"4,314","9,512","16,717","46,369","16,420","8,550","7,498","3,222","2,504","7,997","1,473","2,820","11,021","6,321","11,821","5,148","6,500","4,731","6,682","3,649","5,180","6,798","1,630","17,062","2,513","11,341","9,329","11,401","13,336","12,286","7,490","28,759","17,649","22,999","22,865","3,716","28,787","20,172","18,879","16,763","12,015","159,089","33,447","15,507","18,975","33,903","36,719","25,937","23,248","8,757","23,053","5,425","4,859","15,481","8,991","2,965","1,713","7,469","7,980","6,034","39,274","13,362","5,702","16,515","10,488","23,499","35,104","28,619","18,194","25,649","69,025","13,368","24,882","31,577","21,906","51,256","13,679","15,046","9,558","8,196","8,055","37,254","10,522","9,595","3,941","17,991","10,409","11,836","15,400","7,422","9,206","4,028","1,941","3,186","6,316","7,723","8,193","10,567","18,019","20,162","8,637","10,088","10,206","8,832","9,636","6,564","6,608"
2/2/2015,"5,291","15,746","33,985","50,776","23,643","13,798","10,940","3,697","3,027","13,598","1,961","3,743","6,298","8,970","10,339","16,066","13,880","5,544","7,855","3,200","7,655","8,168","3,116","27,416","2,378","10,309","11,527","14,948","19,370","13,916","8,397","25,694","18,676","33,292","28,304","6,760","34,824","24,667","24,820","19,483","26,605","143,555","34,803","24,140","24,423","23,317","33,986","28,100","22,890","12,335","31,236","7,123","7,140","18,106","6,670","3,351","2,812","10,858","9,772","6,915","35,728","14,997","6,648","19,587","15,983","26,773","36,533","36,441","24,515","26,575","67,053","19,829","28,429","40,489","26,107","57,493","18,311","18,135","15,205","9,830","9,052","25,924","15,334","6,909","5,396","37,901","16,831","18,205","17,676","7,908","10,839","4,260","4,045","3,731","7,880","8,278","10,241","15,156","26,824","21,733","10,280","11,867","11,454","10,512","10,733","7,292","7,397"
2/3/2015,"5,244","17,549","36,417","51,825","25,326","14,793","11,981","3,865","3,087","13,915","1,969","3,761","7,796","8,496","11,462","17,212","14,626","4,737","8,047","2,783","7,752","8,383","3,556","31,678","2,143","10,391","11,976","15,650","20,266","14,582","9,057","26,353","19,818","34,125","31,401","7,002","36,435","26,536","26,041","20,364","27,317","147,697","36,611","25,087","23,614","24,560","33,716","30,965","23,592","12,015","31,674","7,377","7,541","18,584","7,466","3,538","3,023","10,842","9,856","6,874","31,741","15,577","6,356","19,500","16,453","28,100","38,435","37,975","25,199","27,112","68,411","20,536","31,285","42,518","27,040","60,413","19,743","19,135","16,196","10,430","8,701","23,653","16,553","6,684","6,005","39,044","21,191","19,280","17,908","8,385","10,733","4,518","4,078","3,817","8,106","8,518","10,721","15,888","28,311","22,883","10,586","11,349","12,051","11,048","11,265","7,389","7,759"
2/4/2015,"5,290","17,045","36,380","51,663","23,238","14,647","11,519","3,732","3,338","13,677","1,924","3,693","6,657","8,613","10,610","16,882","14,433","4,694","8,150","2,880","7,793","8,571","3,880","31,401","2,148","10,233","11,821","15,418","20,249","14,566","9,115","26,150","19,923","34,110","29,967","7,069","36,524","26,849","25,946","20,185","27,813","147,437","37,007","25,451","23,716","23,561","33,682","29,774","24,624","12,130","31,804","7,265","7,245","18,233","7,290","3,666","2,967","10,894","10,130","7,002","30,643","15,301","6,824","19,618","16,495","27,795","38,519","38,631","25,370","26,320","69,255","22,903","30,564","43,065","27,207","58,771","19,261","18,544","15,853","10,141","8,925","27,576","16,653","6,692","6,259","38,198","21,143","19,357","17,727","8,214","10,991","4,547","4,196","3,904","8,675","8,515","10,706","16,208","28,082","23,051","10,388","11,445","11,958","10,777","11,098","7,356","7,587"
2/5/2015,"5,505","16,664","37,887","54,282","22,618","14,966","12,257","3,877","3,103","13,686","1,951","3,760","6,628","8,686","10,290","16,918","14,785","4,984","8,155","2,865","8,036","8,496","3,692","29,310","2,324","10,731","12,028","15,702","21,219","14,730","9,247","26,796","20,071","34,025","30,745","6,972","36,678","26,732","26,156","20,280","26,970","152,474","38,885","26,003","24,442","25,282","32,619","29,561","24,016","12,104","31,516","7,370","7,763","17,600","7,561","3,689","2,906","10,838","9,699","6,901","30,025","15,311","6,813","19,570","16,408","28,489","39,529","38,555","25,609","26,167","70,137","21,591","30,950","44,405","28,000","62,010","20,732","18,922","16,057","10,145","8,907","29,119","16,712","6,683","6,254","40,080","22,628","19,945","18,358","8,207","11,467","4,723","4,518","3,960","8,769","8,553","10,813","16,530","28,552","24,306","10,622","11,601","12,123","11,068","11,457","7,361","7,476"
2/6/2015,"5,734","17,630","39,628","60,473","22,976","16,027","12,389","3,895","3,129","14,195","1,981","3,799","6,970","8,933","12,704","17,365","15,341","5,078","8,613","2,976","8,059","8,997","3,493","33,147","2,439","10,985","12,585","16,189","21,850","16,051","9,497","29,127","21,702","35,631","32,304","7,089","38,766","27,818","27,445","21,530","27,342","174,264","43,576","27,054","25,876","25,177","36,328","32,246","25,717","12,087","32,395","7,722","7,976","18,901","8,649","3,749","2,988","10,841","10,125","7,371","32,507","16,888","7,162","20,690","16,850","30,044","43,241","40,166","27,012","27,337","80,291","23,088","32,610","49,747","30,763","68,602","21,426","19,967","16,856","10,990","9,394","31,548","18,238","6,772","6,851","41,805","25,846","20,646","20,468","8,562","12,307","5,023","4,554","4,256","8,477","9,241","11,303","17,337","30,388","25,422","11,013","12,219","12,890","11,371","11,765","7,765","7,734"
2/7/2015,"4,507","12,149","24,389","61,889","16,084","10,964","9,044","3,547","2,919","10,223","1,811","3,206","11,060","8,135","13,059","6,893","7,652","4,221","8,079","3,467","5,941","7,691","1,738","28,916","2,388","11,565","10,425","13,462","17,310","15,737","8,706","32,162","22,135","29,015","27,084","4,217","33,794","24,234","22,496","19,404","16,489","170,409","43,692","23,906","19,700","23,728","41,988","31,809","23,134","10,013","27,919","6,109","5,908","17,549","10,458","3,536","2,168","8,620","9,271","6,289","40,150","14,747","6,603","17,847","12,964","29,321","40,197","34,482","22,124","28,816","84,817","16,548","31,174","44,196","27,087","63,820","16,735","17,986","11,220","9,189","8,299","32,452","13,698","9,802","6,348","23,583","17,352","14,600","19,472","8,116","11,468","5,087","2,788","3,917","7,269","9,489","11,670","13,403","22,101","24,550","10,034","10,830","12,274","10,013","10,991","7,169","7,634"
2/8/2015,"4,196","9,973","19,866","50,368","13,664","9,163","7,457","3,437","2,357","8,181","1,359","2,719","7,765","7,946","13,051","5,499","6,140","3,549","6,485","2,788","4,991","6,559","1,558","18,218","2,043","9,713","9,138","11,593","14,852","12,994","7,772","27,263","18,642","22,959","22,395","3,431","29,572","20,741","19,407","16,640","11,252","163,069","36,153","17,130","17,540","21,991","34,028","26,481","23,500","7,452","21,798","5,191","4,681","15,133","9,316","2,773","1,526","6,764","7,403","7,241","31,251","12,647","5,610","15,725","10,108","24,021","37,393","30,016","19,069","24,987","73,869","14,180","26,303","35,905","22,842","51,591","15,025","15,985","9,911","7,912","6,636","27,552","10,710","8,140","5,249","17,595","19,251","12,845","15,844","7,371","9,157","4,657","2,087","3,078","6,109","7,396","10,245","11,487","18,667","20,649","8,520","9,355","10,437","8,621","9,735","6,152","6,601"
2/9/2015,"5,481","15,814","35,480","52,115","21,554","14,188","11,400","3,794","2,918","13,323","1,977","3,579","5,529","8,226","10,301","16,178","14,024","4,505","7,938","2,784","7,410","7,994","3,197","29,288","2,702","10,480","11,916","15,206","19,839","14,240","8,862","29,588","20,054","34,286","27,335","7,128","36,094","25,916","25,766","20,277","26,676","154,504","37,189","26,302","23,750","22,788","32,197","28,507","23,228","11,283","31,249","7,236","7,148","17,301","7,387","3,348","2,966","10,508","9,562","6,824","31,263","15,323","6,793","19,270","16,494","28,091","38,743","37,744","25,055","27,123","72,746","20,211","30,078","43,065","27,412","60,685","18,929","19,296","15,489","9,633","8,597","26,640","15,959","6,308","6,510","37,755","23,546","19,070","18,436","8,154","10,928","4,598","4,142","3,791","8,327","8,651","11,170","15,916","28,025","22,782","10,233","11,389","11,720","10,812","11,033","7,194","7,361"
2/10/2015,"5,621","16,481","37,001","56,446","22,659","14,890","12,065","4,043","3,035","13,704","2,024","3,718","9,418","8,527","11,126","16,595","14,632","4,857","8,556","3,014","7,756","8,508","3,377","41,189","2,718","10,716","12,256","15,577","20,656","15,060","9,140","30,994","21,366","35,067","31,703","7,084","37,480","26,860","26,374","20,855","28,000","165,190","40,628","26,911","24,868","25,134","38,521","33,577","25,224","12,227","31,976","7,393","7,730","18,721","8,493","3,675","2,937","10,947","9,892","7,384","34,098","16,147","6,838","20,121","16,817","29,880","40,779","39,787","25,985","27,662","76,624","21,189","32,957","46,193","29,641","62,897","19,949","20,438","16,347","10,576","9,362","28,765","16,997","6,954","7,163","39,388","18,427","19,642","19,038","8,644","11,266","4,788","4,369","4,029","8,494","9,038","11,886","16,239","28,207","23,955","11,039","11,910","12,156","11,074","11,424","7,769","7,631"
