"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2015/6/1,"5,419 ","15,375 ","34,780 ","43,268 ","22,959 ","14,639 ","10,922 ","3,802 ","2,942 ","15,096 ","1,891 ","4,554 ","5,682 ","10,145 ","9,200 ","17,097 ","14,847 ","5,107 ","7,497 ","2,854 ","8,250 ","8,136 ","3,606 ","28,652 ","1,961 ","9,895 ","11,618 ","14,911 ","19,730 ","15,485 ","8,262 ","25,771 ","17,736 ","31,628 ","25,950 ","8,765 ","34,879 ","25,003 ","24,667 ","19,967 ","25,591 ","130,076 ","32,113 ","22,930 ","23,267 ","23,913 ","32,473 ","27,419 ","22,130 ","12,559 ","31,137 ","7,194 ","7,247 ","18,107 ","4,543 ","3,523 ","3,004 ","13,390 ","10,009 ","7,418 ","36,489 ","15,000 ","6,522 ","19,654 ","17,763 ","24,901 ","36,074 ","38,465 ","24,591 ","25,932 ","59,447 ","21,553 ","28,662 ","35,500 ","21,098 ","52,155 ","19,271 ","16,860 ","15,771 ","10,604 ","8,574 ","23,569 ","15,275 ","5,859 ","6,116 ","35,865 ","19,428 ","18,693 ","16,827 ","13,252 ","10,429 ","4,049 ","3,973 ","3,832 ","8,121 ","8,050 ","10,661 ","15,669 ","27,036 ","20,856 ","10,501 ","11,308 ","11,341 ","10,908 ","10,711 ","7,892 ","7,161 "
2015/6/2,"5,245 ","15,731 ","35,160 ","44,918 ","22,949 ","14,796 ","11,364 ","3,613 ","2,988 ","15,808 ","1,962 ","4,405 ","6,817 ","10,371 ","9,609 ","17,826 ","14,648 ","5,209 ","7,873 ","3,133 ","8,393 ","8,332 ","3,787 ","35,135 ","2,056 ","10,091 ","11,590 ","14,892 ","19,520 ","15,581 ","8,163 ","26,026 ","18,208 ","32,637 ","26,105 ","8,768 ","35,608 ","25,615 ","25,163 ","20,023 ","26,315 ","128,668 ","33,731 ","23,315 ","23,771 ","24,763 ","33,845 ","27,812 ","22,949 ","12,906 ","31,553 ","7,164 ","7,193 ","18,662 ","4,996 ","3,630 ","2,970 ","13,770 ","10,111 ","7,358 ","35,676 ","15,493 ","6,452 ","20,152 ","18,353 ","26,167 ","36,613 ","38,924 ","24,704 ","24,884 ","61,677 ","23,069 ","29,440 ","37,550 ","21,285 ","54,173 ","19,782 ","16,807 ","15,920 ","10,889 ","8,660 ","27,880 ","15,880 ","6,179 ","5,972 ","37,125 ","18,945 ","18,949 ","17,047 ","13,368 ","11,466 ","4,071 ","4,051 ","3,869 ","8,388 ","8,261 ","10,955 ","16,015 ","26,518 ","21,348 ","10,792 ","11,867 ","11,814 ","11,084 ","10,960 ","7,895 ","7,262 "
2015/6/3,"5,623 ","16,111 ","35,514 ","46,457 ","23,821 ","15,633 ","11,284 ","3,782 ","2,986 ","15,706 ","2,068 ","4,473 ","6,957 ","10,515 ","10,107 ","18,222 ","15,489 ","5,390 ","7,969 ","3,203 ","8,611 ","8,299 ","3,881 ","36,836 ","2,211 ","10,380 ","11,900 ","15,262 ","19,876 ","16,007 ","8,589 ","27,157 ","19,159 ","33,197 ","26,558 ","8,832 ","35,856 ","26,094 ","25,734 ","20,018 ","26,896 ","133,599 ","34,907 ","23,640 ","24,251 ","25,292 ","34,556 ","29,328 ","24,367 ","12,968 ","32,132 ","7,306 ","7,304 ","18,487 ","5,140 ","3,702 ","2,963 ","14,024 ","10,125 ","7,422 ","36,430 ","15,791 ","6,688 ","20,407 ","18,697 ","26,599 ","37,379 ","39,153 ","25,458 ","25,589 ","63,003 ","23,613 ","30,422 ","39,138 ","22,570 ","54,858 ","20,469 ","17,505 ","15,953 ","11,184 ","9,035 ","30,461 ","16,206 ","6,540 ","6,058 ","37,107 ","19,247 ","19,640 ","17,348 ","13,263 ","11,075 ","4,206 ","3,977 ","4,038 ","8,627 ","8,428 ","11,028 ","16,317 ","26,630 ","22,532 ","10,833 ","11,809 ","11,881 ","11,167 ","11,317 ","7,968 ","7,370 "
2015/6/4,"5,687 ","16,085 ","36,189 ","48,309 ","23,271 ","15,124 ","11,629 ","3,725 ","3,015 ","15,298 ","2,070 ","4,369 ","6,741 ","10,737 ","9,881 ","18,341 ","15,047 ","5,649 ","8,053 ","3,066 ","8,644 ","8,184 ","3,854 ","39,659 ","2,321 ","9,960 ","11,896 ","15,112 ","20,532 ","15,993 ","8,765 ","26,763 ","18,664 ","32,881 ","28,426 ","8,760 ","35,847 ","26,263 ","25,554 ","20,172 ","26,070 ","137,834 ","34,854 ","23,562 ","24,220 ","25,043 ","34,429 ","28,756 ","23,435 ","12,421 ","31,824 ","7,226 ","7,383 ","18,508 ","5,000 ","3,726 ","3,106 ","13,735 ","10,089 ","7,452 ","35,348 ","15,872 ","6,563 ","20,396 ","18,903 ","26,784 ","37,597 ","39,278 ","25,393 ","24,921 ","63,133 ","23,770 ","33,049 ","39,598 ","21,946 ","57,281 ","19,539 ","17,362 ","15,849 ","11,085 ","8,745 ","31,602 ","16,336 ","6,198 ","6,085 ","37,470 ","19,984 ","19,575 ","16,899 ","13,262 ","10,790 ","4,135 ","4,039 ","4,115 ","8,635 ","8,385 ","10,958 ","15,426 ","27,034 ","22,396 ","11,032 ","11,851 ","11,701 ","11,173 ","11,206 ","7,926 ","7,325 "
2015/6/5,"6,402 ","17,395 ","38,638 ","56,038 ","23,504 ","16,054 ","12,427 ","3,925 ","3,118 ","16,357 ","2,235 ","4,548 ","7,919 ","10,412 ","11,409 ","18,644 ","15,444 ","5,699 ","8,558 ","3,347 ","8,833 ","9,046 ","4,019 ","40,754 ","2,332 ","10,919 ","12,627 ","16,254 ","21,307 ","17,638 ","9,198 ","30,685 ","21,467 ","35,098 ","30,745 ","9,468 ","37,854 ","27,641 ","26,710 ","21,400 ","27,442 ","176,495 ","40,729 ","25,087 ","25,769 ","28,553 ","39,302 ","31,124 ","25,662 ","13,336 ","33,604 ","7,563 ","7,565 ","20,181 ","5,991 ","3,749 ","3,077 ","13,841 ","10,585 ","7,663 ","38,312 ","17,067 ","7,397 ","21,307 ","19,110 ","29,695 ","42,190 ","41,231 ","26,895 ","26,632 ","77,237 ","24,911 ","35,250 ","45,803 ","25,570 ","66,833 ","20,923 ","18,639 ","16,854 ","12,145 ","10,022 ","30,383 ","17,895 ","7,134 ","6,837 ","39,502 ","24,063 ","20,985 ","19,287 ","13,613 ","12,588 ","4,528 ","4,359 ","4,130 ","9,028 ","9,482 ","11,356 ","17,411 ","28,347 ","24,984 ","11,371 ","12,501 ","12,670 ","11,672 ","12,030 ","8,611 ","7,801 "
2015/6/6,"4,883 ","11,284 ","23,922 ","58,509 ","18,804 ","12,569 ","9,205 ","3,660 ","2,511 ","11,350 ","1,746 ","3,446 ","9,280 ","7,964 ","12,694 ","6,861 ","7,746 ","4,407 ","8,197 ","3,460 ","6,535 ","7,139 ","1,964 ","26,079 ","2,947 ","11,265 ","10,250 ","13,395 ","16,803 ","16,286 ","8,267 ","32,616 ","20,920 ","29,291 ","22,814 ","5,014 ","32,076 ","23,133 ","21,823 ","18,810 ","16,149 ","185,578 ","41,036 ","20,878 ","18,658 ","27,847 ","40,192 ","29,228 ","24,040 ","9,664 ","30,260 ","5,855 ","5,256 ","15,404 ","6,439 ","3,335 ","1,941 ","8,757 ","9,212 ","6,307 ","39,589 ","15,078 ","6,425 ","17,605 ","15,231 ","28,949 ","41,169 ","33,866 ","22,216 ","25,836 ","86,832 ","16,648 ","37,201 ","44,257 ","22,800 ","61,283 ","16,014 ","16,480 ","10,798 ","10,064 ","7,765 ","27,767 ","13,536 ","8,549 ","5,221 ","21,656 ","19,008 ","15,140 ","16,654 ","9,962 ","15,384 ","4,434 ","3,383 ","3,744 ","10,012 ","8,774 ","9,330 ","13,012 ","20,056 ","23,393 ","10,085 ","10,612 ","11,685 ","9,778 ","10,695 ","7,804 ","7,167 "
2015/6/7,"4,672 ","9,037 ","17,036 ","45,751 ","13,546 ","8,955 ","7,006 ","3,157 ","2,370 ","8,944 ","1,362 ","2,813 ","8,012 ","6,545 ","10,817 ","5,367 ","6,218 ","3,451 ","6,209 ","4,875 ","5,140 ","5,984 ","1,781 ","14,627 ","2,199 ","9,743 ","8,594 ","11,040 ","13,238 ","13,668 ","7,416 ","29,229 ","18,222 ","22,479 ","19,519 ","3,775 ","27,158 ","18,742 ","17,680 ","15,304 ","11,409 ","166,434 ","33,303 ","14,406 ","16,927 ","24,994 ","32,249 ","24,393 ","22,925 ","8,037 ","22,162 ","4,971 ","4,259 ","14,199 ","5,816 ","2,757 ","2,347 ","8,838 ","8,075 ","5,675 ","40,584 ","12,644 ","5,174 ","14,792 ","11,942 ","22,341 ","35,863 ","27,990 ","17,717 ","22,195 ","71,697 ","13,479 ","28,093 ","32,115 ","18,062 ","47,580 ","12,736 ","13,367 ","8,895 ","8,223 ","6,004 ","21,705 ","9,745 ","7,631 ","4,145 ","16,515 ","10,814 ","12,338 ","13,528 ","8,358 ","12,662 ","3,522 ","2,945 ","3,896 ","5,873 ","7,074 ","7,475 ","10,948 ","16,694 ","19,973 ","8,561 ","9,078 ","9,458 ","8,169 ","8,899 ","6,532 ","6,092 "
2015/6/8,"5,785 ","14,862 ","34,024 ","44,931 ","21,884 ","14,541 ","10,790 ","3,671 ","3,038 ","14,925 ","1,919 ","4,370 ","5,528 ","10,061 ","9,336 ","16,919 ","14,245 ","4,969 ","7,621 ","3,033 ","8,156 ","7,818 ","3,615 ","26,268 ","2,086 ","9,736 ","11,587 ","14,796 ","19,379 ","15,688 ","8,196 ","26,520 ","18,057 ","32,113 ","25,056 ","8,525 ","34,246 ","24,660 ","24,427 ","19,507 ","25,891 ","134,862 ","32,833 ","22,645 ","22,985 ","24,850 ","33,187 ","27,137 ","22,462 ","12,367 ","31,403 ","7,065 ","7,010 ","17,749 ","4,669 ","3,357 ","2,985 ","13,451 ","9,874 ","7,570 ","37,398 ","14,948 ","6,576 ","19,291 ","17,453 ","25,413 ","35,214 ","37,942 ","24,262 ","24,623 ","61,185 ","21,746 ","28,384 ","36,852 ","21,468 ","52,887 ","18,687 ","16,977 ","15,239 ","10,139 ","8,485 ","23,711 ","15,252 ","6,078 ","6,008 ","35,741 ","18,178 ","18,458 ","17,106 ","13,188 ","10,345 ","4,014 ","4,198 ","3,953 ","8,078 ","8,246 ","10,703 ","15,792 ","25,862 ","21,182 ","10,315 ","11,535 ","11,267 ","10,729 ","10,840 ","7,894 ","7,262 "
2015/6/9,"5,243 ","15,351 ","35,312 ","46,085 ","22,476 ","14,959 ","11,034 ","3,588 ","2,954 ","15,232 ","1,959 ","4,298 ","7,220 ","10,135 ","9,867 ","17,255 ","14,312 ","4,975 ","7,609 ","3,076 ","8,237 ","8,004 ","3,755 ","27,057 ","2,103 ","9,969 ","11,704 ","14,912 ","19,682 ","15,685 ","8,419 ","26,934 ","18,387 ","32,756 ","26,899 ","8,997 ","34,852 ","24,994 ","24,867 ","19,851 ","26,766 ","132,552 ","34,600 ","23,200 ","23,521 ","24,742 ","33,555 ","28,184 ","23,025 ","12,618 ","31,796 ","7,226 ","7,219 ","17,720 ","5,102 ","3,643 ","2,980 ","13,817 ","10,117 ","7,558 ","35,832 ","15,285 ","6,369 ","19,868 ","18,326 ","26,054 ","35,660 ","38,388 ","25,044 ","24,824 ","61,636 ","22,687 ","28,924 ","38,242 ","21,828 ","52,804 ","19,387 ","17,008 ","15,729 ","10,305 ","8,991 ","23,751 ","15,627 ","5,977 ","5,975 ","36,444 ","18,470 ","19,463 ","17,321 ","13,195 ","10,955 ","4,194 ","4,267 ","3,938 ","8,214 ","8,183 ","10,932 ","15,399 ","26,516 ","22,060 ","10,667 ","11,592 ","11,301 ","10,889 ","10,990 ","7,971 ","7,456 "
2015/6/10,"5,419 ","15,717 ","35,249 ","47,232 ","22,746 ","15,588 ","11,278 ","3,720 ","3,023 ","17,637 ","1,966 ","4,252 ","6,720 ","10,208 ","10,797 ","17,720 ","14,442 ","5,064 ","7,861 ","3,010 ","8,257 ","8,055 ","3,764 ","27,379 ","2,118 ","10,181 ","11,946 ","15,109 ","19,909 ","16,167 ","8,763 ","27,099 ","18,701 ","33,405 ","27,389 ","8,751 ","35,221 ","25,613 ","25,082 ","20,049 ","26,564 ","136,957 ","35,654 ","23,172 ","23,741 ","24,366 ","34,851 ","28,498 ","24,335 ","12,546 ","31,978 ","7,303 ","7,211 ","18,509 ","4,883 ","3,493 ","3,065 ","13,832 ","10,095 ","7,504 ","35,923 ","15,571 ","6,787 ","20,065 ","18,201 ","26,429 ","37,065 ","38,821 ","25,513 ","24,935 ","66,912 ","23,469 ","29,392 ","39,570 ","22,331 ","53,919 ","19,478 ","17,101 ","16,022 ","10,559 ","8,997 ","24,776 ","16,053 ","6,345 ","6,215 ","37,319 ","18,834 ","19,831 ","17,739 ","13,186 ","10,893 ","4,099 ","4,335 ","3,917 ","8,200 ","8,365 ","10,895 ","15,893 ","26,436 ","22,328 ","10,764 ","11,730 ","11,691 ","10,928 ","10,762 ","8,148 ","7,218 "
