"tation Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2017/4/1,"5,311 ","9,688 ","21,096 ","49,867 ","15,500 ","9,582 ","7,840 ","5,736 ","2,384 ","8,974 ","1,465 ","2,838 ","11,548 ","6,479 ","11,353 ","5,305 ","6,008 ","3,544 ","6,967 ","3,074 ","5,180 ","6,485 ","2,119 ","17,635 ","3,067 ","11,123 ","9,061 ","11,995 ","14,013 ","12,721 ","7,376 ","27,969 ","16,443 ","22,985 ","27,214 ","3,893 ","29,937 ","21,311 ","18,609 ","17,714 ","12,205 ","197,671 ","37,696 ","19,001 ","16,117 ","31,142 ","36,298 ","27,447 ","19,313 ","8,699 ","24,355 ","5,463 ","5,692 ","15,426 ","10,760 ","2,871 ","1,871 ","8,650 ","8,432 ","8,631 ","42,322 ","5,734 ","10,420 ","6,496 ","16,647 ","13,600 ","25,544 ","41,256 ","28,949 ","19,892 ","26,751 ","82,001 ","13,679 ","29,446 ","35,538 ","22,703 ","53,264 ","13,735 ","13,395 ","8,752 ","16,105 ","7,866 ","34,035 ","12,415 ","10,163 ","9,599 ","19,566 ","13,158 ","16,214 ","18,514 ","6,924 ","10,250 ","3,727 ","2,244 ","6,109 ","7,471 ","9,075 ","8,843 ","12,492 ","21,744 ","22,034 ","9,691 ","10,172 ","10,127 ","9,110 ","10,200 ","7,069 ","6,907 "
2017/4/2,"4,683 ","8,400 ","18,032 ","44,069 ","13,239 ","8,106 ","7,166 ","6,871 ","2,517 ","8,228 ","2,085 ","3,594 ","24,519 ","5,355 ","11,530 ","4,634 ","5,196 ","3,282 ","6,742 ","4,188 ","4,796 ","6,064 ","2,100 ","16,806 ","3,157 ","14,256 ","9,033 ","11,584 ","12,372 ","12,603 ","7,026 ","26,848 ","14,762 ","18,697 ","29,524 ","3,679 ","28,146 ","20,238 ","17,979 ","17,441 ","9,953 ","177,726 ","33,912 ","15,944 ","17,157 ","33,879 ","42,088 ","29,372 ","18,646 ","7,559 ","23,757 ","5,400 ","5,356 ","16,473 ","12,816 ","2,926 ","1,967 ","9,181 ","8,217 ","9,779 ","57,912 ","6,118 ","11,417 ","6,363 ","16,537 ","11,818 ","23,759 ","39,431 ","26,842 ","18,665 ","27,523 ","78,975 ","13,763 ","27,021 ","30,578 ","18,460 ","49,611 ","12,670 ","13,063 ","8,377 ","13,164 ","10,292 ","35,954 ","11,163 ","16,407 ","8,581 ","17,120 ","11,775 ","13,729 ","18,471 ","6,453 ","10,233 ","3,551 ","2,049 ","5,976 ","6,438 ","8,714 ","8,329 ","10,999 ","17,112 ","21,436 ","9,559 ","9,916 ","9,639 ","8,730 ","9,932 ","7,347 ","7,063 "
2017/4/3,"4,668 ","8,620 ","18,222 ","45,581 ","13,020 ","7,807 ","7,297 ","5,748 ","2,136 ","9,355 ","1,989 ","3,516 ","24,706 ","5,546 ","9,614 ","4,817 ","5,589 ","3,438 ","6,769 ","4,844 ","4,811 ","6,212 ","2,114 ","14,164 ","2,964 ","14,931 ","8,853 ","11,597 ","12,803 ","12,027 ","7,051 ","25,527 ","13,625 ","18,282 ","26,035 ","3,643 ","29,038 ","19,941 ","18,169 ","17,084 ","8,905 ","160,003 ","32,994 ","19,386 ","15,234 ","31,641 ","41,641 ","30,107 ","18,319 ","8,817 ","23,655 ","5,396 ","5,678 ","16,446 ","12,706 ","2,920 ","2,565 ","9,490 ","8,823 ","8,049 ","59,286 ","5,675 ","10,448 ","6,436 ","16,129 ","13,552 ","22,685 ","36,099 ","26,362 ","18,444 ","27,063 ","76,609 ","11,156 ","24,925 ","30,823 ","16,349 ","47,794 ","11,546 ","12,099 ","7,938 ","12,353 ","10,838 ","33,783 ","11,553 ","10,840 ","8,473 ","17,559 ","10,415 ","13,585 ","17,921 ","6,135 ","8,149 ","3,239 ","2,017 ","5,698 ","6,453 ","8,700 ","7,852 ","10,802 ","16,688 ","20,293 ","9,304 ","9,567 ","9,372 ","8,761 ","9,621 ","7,060 ","6,604 "
2017/4/4,"4,273 ","7,725 ","15,948 ","37,810 ","11,893 ","7,613 ","7,106 ","5,079 ","2,031 ","7,916 ","1,708 ","2,934 ","18,166 ","5,930 ","7,976 ","5,181 ","5,826 ","3,824 ","6,510 ","3,863 ","4,722 ","5,557 ","1,906 ","13,130 ","2,613 ","11,330 ","7,926 ","11,304 ","12,211 ","11,188 ","7,196 ","23,944 ","13,589 ","17,334 ","21,697 ","3,485 ","27,702 ","19,477 ","16,539 ","16,513 ","8,192 ","128,552 ","27,858 ","13,476 ","13,713 ","26,493 ","30,888 ","24,944 ","16,446 ","7,167 ","21,271 ","5,088 ","4,789 ","14,660 ","9,095 ","2,584 ","1,609 ","8,152 ","7,163 ","6,098 ","41,611 ","5,023 ","8,397 ","5,293 ","14,458 ","10,454 ","18,446 ","30,685 ","24,659 ","17,110 ","22,295 ","60,960 ","10,996 ","21,655 ","26,072 ","14,139 ","40,655 ","11,733 ","11,783 ","8,051 ","10,357 ","8,616 ","22,941 ","10,670 ","8,285 ","6,989 ","15,574 ","9,518 ","12,994 ","13,771 ","5,943 ","6,817 ","2,777 ","1,773 ","4,884 ","5,904 ","7,669 ","6,929 ","9,820 ","14,863 ","17,629 ","7,945 ","8,239 ","8,153 ","7,741 ","8,709 ","5,896 ","5,935 "
2017/4/5,"5,566 ","15,466 ","38,766 ","44,305 ","26,096 ","14,159 ","11,832 ","4,002 ","3,028 ","17,755 ","2,136 ","4,689 ","7,967 ","9,059 ","9,198 ","18,666 ","15,814 ","5,485 ","8,112 ","3,322 ","8,513 ","8,426 ","4,407 ","26,781 ","2,198 ","10,803 ","11,611 ","16,701 ","21,133 ","14,987 ","9,203 ","27,729 ","18,438 ","31,948 ","29,636 ","8,427 ","36,949 ","27,460 ","24,554 ","20,466 ","26,556 ","137,026 ","34,559 ","23,434 ","23,877 ","25,994 ","32,107 ","28,699 ","22,921 ","13,069 ","33,351 ","6,918 ","8,443 ","19,559 ","6,378 ","3,335 ","2,767 ","13,394 ","9,884 ","6,935 ","34,479 ","7,445 ","12,166 ","7,027 ","21,425 ","20,633 ","26,644 ","38,342 ","39,366 ","26,361 ","27,334 ","63,379 ","21,610 ","30,462 ","37,582 ","22,011 ","57,059 ","20,248 ","16,563 ","15,111 ","15,171 ","10,529 ","26,182 ","17,929 ","8,121 ","9,900 ","39,127 ","23,770 ","23,540 ","22,432 ","10,031 ","11,279 ","4,080 ","4,452 ","5,830 ","9,530 ","9,264 ","11,430 ","17,079 ","28,774 ","22,619 ","11,681 ","12,732 ","12,264 ","11,723 ","11,779 ","8,726 ","8,360 "
2017/4/6,"5,711 ","15,956 ","41,249 ","47,797 ","26,619 ","15,449 ","11,925 ","4,139 ","3,252 ","16,120 ","2,163 ","4,752 ","7,228 ","10,512 ","9,980 ","19,387 ","16,333 ","5,711 ","8,250 ","3,208 ","8,808 ","8,544 ","4,638 ","40,209 ","2,378 ","11,146 ","11,612 ","16,593 ","21,727 ","16,544 ","9,096 ","28,524 ","18,610 ","33,704 ","29,868 ","10,459 ","37,543 ","27,483 ","25,506 ","21,356 ","26,648 ","138,800 ","36,521 ","23,655 ","25,020 ","25,962 ","32,975 ","29,533 ","23,900 ","12,824 ","33,139 ","7,327 ","8,715 ","19,455 ","6,039 ","3,521 ","3,118 ","13,860 ","10,248 ","7,010 ","33,025 ","7,439 ","12,482 ","7,138 ","22,025 ","21,018 ","26,935 ","39,327 ","40,167 ","26,695 ","27,357 ","62,992 ","24,261 ","32,776 ","38,377 ","22,270 ","59,923 ","20,410 ","16,873 ","15,604 ","16,839 ","10,562 ","26,730 ","18,284 ","7,702 ","9,628 ","40,320 ","24,928 ","23,976 ","22,841 ","13,775 ","11,685 ","4,397 ","4,576 ","6,000 ","10,018 ","9,518 ","11,915 ","17,661 ","29,216 ","23,705 ","12,358 ","13,083 ","12,604 ","12,252 ","12,123 ","9,377 ","8,484 "
2017/4/7,"6,080 ","17,171 ","43,619 ","54,195 ","28,330 ","16,387 ","12,705 ","4,172 ","3,255 ","16,862 ","2,168 ","4,768 ","7,215 ","10,688 ","11,463 ","19,460 ","16,996 ","6,014 ","8,869 ","3,373 ","9,010 ","9,095 ","4,905 ","44,573 ","2,406 ","11,799 ","12,474 ","17,567 ","22,342 ","17,835 ","9,944 ","31,708 ","20,425 ","35,042 ","32,685 ","10,902 ","39,949 ","29,574 ","26,877 ","22,504 ","27,826 ","167,271 ","41,766 ","25,864 ","27,072 ","28,485 ","37,545 ","31,935 ","25,292 ","13,621 ","34,087 ","7,850 ","9,354 ","20,442 ","6,704 ","3,730 ","3,166 ","14,082 ","10,600 ","7,138 ","35,513 ","8,134 ","14,159 ","7,726 ","23,463 ","21,672 ","29,715 ","43,726 ","42,560 ","28,524 ","29,575 ","78,323 ","25,343 ","35,917 ","44,044 ","25,968 ","68,603 ","21,730 ","18,386 ","16,503 ","19,517 ","11,195 ","31,989 ","20,275 ","8,418 ","10,725 ","43,574 ","27,167 ","25,914 ","25,303 ","15,833 ","13,435 ","4,604 ","4,851 ","6,574 ","10,586 ","10,522 ","12,700 ","19,367 ","32,290 ","26,917 ","12,774 ","13,758 ","13,374 ","12,739 ","12,706 ","10,120 ","9,028 "
2017/4/8,"4,680 ","11,797 ","25,159 ","54,761 ","20,427 ","12,278 ","9,320 ","4,147 ","2,706 ","11,528 ","1,784 ","3,695 ","11,651 ","7,940 ","12,383 ","7,092 ","7,817 ","4,599 ","7,691 ","4,408 ","6,422 ","7,468 ","2,193 ","38,713 ","2,265 ","12,122 ","10,081 ","13,976 ","16,130 ","17,233 ","8,622 ","35,310 ","19,884 ","29,285 ","28,939 ","5,715 ","33,909 ","24,114 ","21,153 ","19,235 ","15,577 ","178,079 ","42,368 ","21,147 ","19,427 ","32,398 ","43,260 ","34,220 ","22,058 ","9,640 ","27,520 ","6,112 ","6,373 ","17,498 ","9,086 ","3,512 ","2,095 ","10,458 ","9,438 ","6,709 ","46,974 ","6,680 ","11,947 ","6,528 ","18,344 ","15,166 ","28,797 ","40,503 ","33,078 ","22,349 ","29,516 ","89,228 ","17,504 ","34,917 ","42,035 ","23,572 ","57,300 ","15,701 ","15,905 ","9,919 ","16,096 ","9,651 ","33,217 ","14,718 ","12,591 ","9,494 ","23,716 ","22,443 ","18,202 ","21,106 ","11,696 ","12,491 ","4,078 ","2,681 ","6,261 ","8,316 ","10,206 ","10,358 ","14,301 ","22,413 ","25,465 ","10,949 ","11,406 ","11,078 ","10,287 ","11,232 ","8,278 ","7,740 "
2017/4/9,"4,716 ","8,757 ","18,735 ","42,449 ","20,794 ","8,879 ","7,415 ","3,713 ","2,443 ","9,815 ","1,574 ","4,157 ","11,522 ","6,581 ","10,617 ","5,826 ","7,997 ","3,987 ","6,684 ","3,960 ","5,516 ","6,639 ","2,128 ","35,480 ","2,276 ","11,969 ","9,025 ","12,202 ","14,451 ","16,066 ","7,617 ","29,890 ","16,408 ","22,278 ","26,004 ","4,774 ","29,501 ","20,755 ","18,170 ","16,747 ","11,653 ","177,558 ","34,243 ","14,880 ","18,318 ","29,264 ","35,707 ","28,830 ","18,838 ","7,798 ","23,138 ","5,367 ","5,382 ","15,962 ","7,763 ","3,055 ","1,659 ","9,254 ","8,071 ","7,192 ","49,468 ","6,057 ","10,783 ","5,474 ","16,598 ","12,745 ","23,757 ","37,446 ","28,329 ","18,775 ","25,746 ","74,879 ","13,891 ","27,648 ","31,608 ","18,210 ","48,446 ","15,320 ","15,078 ","8,862 ","15,361 ","8,784 ","35,396 ","11,124 ","12,038 ","8,523 ","16,747 ","12,249 ","14,365 ","16,043 ","9,090 ","9,646 ","3,531 ","2,351 ","5,670 ","6,930 ","8,089 ","8,323 ","11,435 ","18,751 ","21,394 ","9,500 ","9,706 ","9,776 ","8,950 ","9,934 ","7,266 ","7,005 "
2017/4/10,"5,645 ","15,737 ","39,582 ","44,062 ","24,110 ","14,833 ","11,278 ","3,905 ","3,065 ","15,909 ","2,075 ","4,611 ","6,010 ","10,488 ","9,579 ","18,875 ","15,724 ","5,432 ","8,079 ","3,084 ","8,633 ","8,220 ","4,544 ","26,509 ","2,230 ","11,147 ","11,752 ","16,590 ","20,884 ","16,448 ","8,906 ","26,946 ","17,865 ","32,399 ","28,795 ","10,527 ","37,076 ","26,943 ","25,121 ","21,139 ","27,253 ","137,954 ","34,275 ","24,096 ","24,252 ","26,359 ","34,270 ","27,911 ","23,157 ","13,107 ","33,026 ","7,218 ","8,630 ","19,568 ","5,449 ","3,481 ","3,028 ","13,783 ","10,147 ","7,151 ","40,009 ","7,462 ","12,267 ","7,177 ","21,699 ","20,770 ","26,378 ","38,528 ","39,972 ","26,356 ","27,286 ","65,196 ","22,614 ","30,134 ","36,949 ","21,763 ","58,794 ","19,767 ","16,645 ","15,209 ","15,004 ","10,462 ","28,812 ","17,919 ","7,586 ","9,742 ","39,379 ","23,344 ","23,570 ","22,666 ","13,458 ","11,447 ","4,245 ","4,585 ","5,794 ","9,761 ","9,441 ","11,603 ","17,378 ","29,318 ","23,500 ","11,809 ","12,951 ","12,184 ","11,941 ","11,706 ","9,363 ","8,424 "
