"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2018/8/1,"5,992 ","15,321 ","43,722 ","48,834 ","24,876 ","14,303 ","11,415 ","4,082 ","2,905 ","13,707 ","2,101 ","4,256 ","6,403 ","8,306 ","10,466 ","18,043 ","16,501 ","5,217 ","8,788 ","3,294 ","8,164 ","8,096 ","5,473 ","34,077 ","2,349 ","10,362 ","11,770 ","16,683 ","20,703 ","15,489 ","9,477 ","26,829 ","18,172 ","33,765 ","29,263 ","9,348 ","36,836 ","27,458 ","25,568 ","20,959 ","27,407 ","149,596 ","38,245 ","25,614 ","23,501 ","26,188 ","28,943 ","27,536 ","24,068 ","12,133 ","31,779 ","7,635 ","8,853 ","18,017 ","4,957 ","3,821 ","2,955 ","11,223 ","9,480 ","6,757 ","32,742 ","8,174 ","13,049 ","7,186 ","21,277 ","21,913 ","28,104 ","42,837 ","39,684 ","27,217 ","28,328 ","68,971 ","22,590 ","32,113 ","39,988 ","24,154 ","64,104 ","20,120 ","16,857 ","15,417 ","18,720 ","12,220 ","29,916 ","19,363 ","7,911 ","11,550 ","41,538 ","23,034 ","25,480 ","24,635 ","9,454 ","11,398 ","4,568 ","5,136 ","6,083 ","9,706 ","9,850 ","11,471 ","17,390 ","29,342 ","26,209 ","12,500 ","12,144 ","12,405 ","11,755 ","11,857 ","9,082 ","8,465 "
2018/8/2,"5,931 ","15,559 ","44,900 ","50,879 ","24,894 ","14,171 ","11,694 ","3,933 ","2,940 ","13,437 ","2,165 ","4,331 ","6,760 ","8,446 ","10,605 ","18,050 ","16,500 ","5,220 ","8,866 ","3,281 ","8,148 ","8,077 ","5,480 ","36,056 ","2,469 ","10,803 ","11,677 ","16,468 ","20,959 ","15,420 ","9,523 ","27,363 ","18,591 ","33,259 ","30,257 ","9,664 ","36,929 ","27,510 ","25,221 ","21,095 ","27,634 ","153,275 ","39,435 ","25,261 ","23,205 ","26,817 ","30,130 ","27,855 ","23,745 ","12,255 ","31,704 ","7,625 ","8,797 ","17,994 ","4,852 ","3,771 ","2,994 ","11,140 ","9,621 ","7,055 ","33,353 ","8,134 ","13,432 ","7,084 ","21,507 ","21,640 ","27,707 ","43,572 ","39,701 ","27,008 ","28,560 ","69,956 ","21,983 ","32,238 ","40,020 ","24,854 ","65,814 ","19,837 ","17,076 ","16,033 ","19,387 ","12,408 ","31,588 ","19,417 ","7,971 ","11,571 ","42,119 ","23,455 ","25,627 ","24,535 ","9,398 ","11,187 ","4,629 ","5,128 ","6,113 ","9,804 ","9,695 ","11,385 ","17,597 ","30,553 ","25,946 ","12,431 ","12,091 ","12,511 ","11,815 ","11,447 ","9,029 ","8,590 "
2018/8/3,"6,473 ","15,892 ","46,113 ","56,303 ","25,743 ","14,619 ","12,321 ","3,982 ","2,999 ","13,577 ","2,080 ","4,197 ","6,627 ","8,449 ","11,741 ","18,021 ","16,262 ","5,301 ","9,312 ","3,220 ","8,185 ","8,329 ","5,794 ","39,135 ","2,473 ","10,730 ","12,010 ","16,806 ","21,604 ","15,836 ","9,848 ","28,406 ","19,383 ","34,717 ","30,337 ","9,437 ","37,682 ","28,651 ","26,099 ","21,526 ","28,030 ","189,364 ","43,904 ","25,872 ","23,489 ","28,615 ","29,658 ","28,516 ","24,460 ","12,172 ","30,678 ","7,682 ","9,072 ","17,868 ","5,319 ","3,679 ","2,972 ","10,819 ","9,638 ","6,873 ","33,613 ","8,633 ","14,600 ","7,521 ","22,152 ","21,742 ","29,679 ","49,756 ","40,787 ","27,335 ","29,892 ","77,246 ","23,158 ","34,076 ","44,334 ","26,665 ","73,272 ","20,548 ","17,330 ","15,569 ","23,647 ","12,991 ","32,555 ","20,681 ","8,463 ","12,500 ","43,664 ","24,322 ","26,205 ","25,211 ","9,078 ","11,499 ","4,893 ","5,199 ","6,238 ","9,354 ","10,307 ","11,723 ","18,187 ","31,971 ","27,231 ","12,937 ","12,506 ","12,840 ","12,203 ","11,961 ","9,337 ","8,736 "
2018/8/4,"4,989 ","10,139 ","26,044 ","54,018 ","16,943 ","9,562 ","8,363 ","3,739 ","2,428 ","9,391 ","1,655 ","3,061 ","9,557 ","6,430 ","10,596 ","6,288 ","6,846 ","3,869 ","7,807 ","3,257 ","5,647 ","6,648 ","2,819 ","26,892 ","2,247 ","10,403 ","9,738 ","12,990 ","15,164 ","15,869 ","8,840 ","27,709 ","17,474 ","26,115 ","25,923 ","4,657 ","31,908 ","22,008 ","19,915 ","18,230 ","13,575 ","181,025 ","42,574 ","20,898 ","17,193 ","27,626 ","33,000 ","27,629 ","20,397 ","8,743 ","26,017 ","5,822 ","6,006 ","15,038 ","5,977 ","3,188 ","1,948 ","8,053 ","8,287 ","5,882 ","39,086 ","6,564 ","12,251 ","6,292 ","18,073 ","15,587 ","27,123 ","46,905 ","32,187 ","21,924 ","29,233 ","83,807 ","16,099 ","32,272 ","38,808 ","21,595 ","61,658 ","15,650 ","14,380 ","9,521 ","17,739 ","9,663 ","28,247 ","14,650 ","8,962 ","10,259 ","22,258 ","22,170 ","17,417 ","20,102 ","7,347 ","9,243 ","4,201 ","2,342 ","5,852 ","7,385 ","9,557 ","9,950 ","13,938 ","23,116 ","24,134 ","10,585 ","9,987 ","10,809 ","9,852 ","10,315 ","7,539 ","7,020 "
2018/8/5,"4,988 ","8,568 ","20,656 ","43,911 ","12,972 ","8,149 ","7,148 ","3,528 ","2,101 ","7,697 ","1,426 ","2,786 ","8,668 ","5,777 ","10,338 ","5,332 ","6,378 ","3,417 ","6,792 ","3,080 ","5,138 ","5,733 ","2,561 ","14,854 ","2,171 ","10,441 ","9,037 ","12,004 ","13,646 ","13,919 ","7,955 ","25,821 ","15,670 ","22,240 ","24,149 ","4,145 ","28,955 ","20,342 ","18,258 ","17,007 ","10,524 ","167,060 ","35,463 ","15,924 ","17,098 ","25,245 ","29,602 ","24,395 ","20,861 ","7,753 ","21,217 ","5,401 ","5,340 ","13,829 ","5,579 ","2,877 ","1,884 ","7,511 ","7,292 ","5,223 ","37,663 ","6,319 ","10,929 ","5,537 ","16,616 ","13,363 ","23,507 ","42,318 ","28,785 ","19,701 ","27,168 ","73,169 ","13,508 ","28,628 ","30,098 ","17,549 ","53,468 ","14,669 ","13,425 ","8,939 ","13,704 ","8,485 ","25,388 ","11,631 ","8,761 ","8,964 ","16,673 ","19,643 ","15,611 ","17,020 ","6,874 ","7,905 ","4,050 ","2,250 ","5,391 ","7,180 ","8,317 ","8,082 ","12,142 ","27,164 ","22,182 ","9,340 ","9,034 ","9,633 ","8,491 ","9,627 ","7,001 ","6,505 "
2018/8/6,"6,102 ","15,344 ","42,569 ","47,142 ","23,968 ","13,447 ","11,344 ","3,918 ","3,098 ","13,343 ","2,065 ","4,130 ","5,901 ","8,406 ","10,716 ","17,294 ","15,903 ","5,055 ","8,609 ","3,110 ","8,018 ","7,824 ","5,243 ","26,734 ","2,269 ","10,439 ","11,673 ","16,378 ","20,562 ","15,058 ","9,354 ","25,940 ","17,821 ","33,090 ","27,101 ","9,427 ","36,491 ","26,832 ","24,738 ","21,048 ","26,970 ","154,389 ","37,596 ","25,027 ","22,953 ","25,068 ","29,492 ","27,051 ","23,048 ","12,087 ","30,866 ","7,337 ","8,645 ","17,652 ","4,555 ","3,619 ","3,013 ","11,723 ","9,410 ","6,759 ","34,305 ","8,023 ","13,132 ","7,014 ","21,422 ","21,841 ","27,452 ","43,345 ","38,978 ","26,394 ","28,832 ","70,372 ","20,672 ","31,593 ","38,440 ","23,992 ","62,630 ","19,156 ","16,600 ","15,483 ","16,777 ","12,283 ","29,952 ","18,806 ","7,875 ","11,690 ","40,311 ","22,357 ","25,205 ","24,561 ","9,400 ","10,975 ","4,504 ","4,875 ","5,883 ","9,224 ","9,615 ","10,820 ","17,017 ","30,374 ","24,816 ","12,343 ","11,983 ","12,306 ","11,718 ","11,789 ","9,079 ","8,321 "
2018/8/7,"5,953 ","15,881 ","44,602 ","49,759 ","25,086 ","14,188 ","11,608 ","3,945 ","2,993 ","13,568 ","2,191 ","4,234 ","7,266 ","8,845 ","10,803 ","18,093 ","16,482 ","5,126 ","8,986 ","3,259 ","8,095 ","8,075 ","5,469 ","27,952 ","2,372 ","10,731 ","11,791 ","16,777 ","21,032 ","15,739 ","9,584 ","27,975 ","18,497 ","34,188 ","29,197 ","9,465 ","37,591 ","27,721 ","25,427 ","21,425 ","27,924 ","154,002 ","39,351 ","25,627 ","23,557 ","27,022 ","30,898 ","28,054 ","24,048 ","12,333 ","31,674 ","7,623 ","8,730 ","18,122 ","4,877 ","3,923 ","2,989 ","11,192 ","9,762 ","6,967 ","33,893 ","8,161 ","13,630 ","7,326 ","21,798 ","22,508 ","28,794 ","45,403 ","40,128 ","27,039 ","29,243 ","71,149 ","22,595 ","32,113 ","40,549 ","25,303 ","65,401 ","20,510 ","17,057 ","15,290 ","17,296 ","12,932 ","30,640 ","19,784 ","7,970 ","11,908 ","41,753 ","22,884 ","26,086 ","25,324 ","9,390 ","11,301 ","4,614 ","4,980 ","6,175 ","9,611 ","9,978 ","11,201 ","17,423 ","30,816 ","26,217 ","12,769 ","12,293 ","12,870 ","11,765 ","11,907 ","9,179 ","8,661 "
2018/8/8,"5,709 ","15,644 ","43,507 ","49,502 ","24,629 ","14,012 ","11,675 ","4,050 ","3,068 ","13,611 ","2,100 ","4,191 ","6,361 ","8,595 ","14,236 ","17,733 ","16,561 ","5,236 ","8,905 ","3,322 ","8,158 ","8,228 ","5,624 ","27,571 ","2,301 ","10,626 ","11,766 ","16,514 ","20,948 ","15,484 ","9,755 ","26,413 ","18,009 ","33,970 ","28,823 ","9,754 ","36,637 ","27,335 ","25,452 ","21,207 ","27,987 ","149,726 ","39,494 ","25,239 ","23,080 ","26,052 ","29,343 ","27,734 ","24,659 ","12,375 ","32,679 ","7,598 ","8,621 ","18,282 ","5,223 ","3,845 ","3,159 ","11,627 ","9,796 ","7,078 ","33,575 ","8,180 ","13,418 ","7,383 ","21,546 ","21,928 ","28,044 ","45,680 ","40,137 ","27,317 ","28,836 ","72,068 ","22,746 ","31,200 ","38,578 ","24,400 ","64,955 ","20,046 ","17,168 ","15,172 ","17,910 ","12,714 ","30,942 ","19,580 ","7,942 ","11,802 ","41,730 ","22,905 ","25,528 ","24,751 ","9,525 ","11,495 ","4,678 ","4,929 ","5,981 ","9,411 ","9,727 ","10,912 ","17,297 ","30,923 ","26,432 ","12,476 ","11,863 ","12,501 ","11,634 ","11,654 ","9,341 ","8,449 "
2018/8/9,"6,217 ","15,871 ","44,994 ","50,679 ","25,061 ","14,161 ","11,713 ","4,035 ","3,021 ","13,469 ","2,167 ","4,267 ","7,037 ","8,727 ","10,913 ","18,210 ","16,557 ","5,201 ","9,004 ","3,205 ","8,060 ","8,328 ","5,366 ","27,917 ","2,482 ","10,738 ","11,972 ","16,885 ","21,650 ","15,792 ","9,762 ","28,428 ","18,794 ","34,544 ","30,815 ","9,699 ","37,371 ","27,792 ","25,739 ","21,306 ","27,992 ","159,858 ","41,037 ","25,992 ","23,236 ","28,211 ","31,390 ","28,300 ","24,489 ","12,575 ","32,241 ","7,615 ","8,773 ","18,233 ","5,292 ","3,807 ","3,112 ","11,099 ","9,705 ","7,162 ","34,249 ","8,305 ","13,718 ","7,230 ","21,936 ","22,148 ","28,440 ","46,550 ","40,707 ","27,260 ","29,460 ","74,934 ","22,093 ","32,290 ","40,627 ","25,344 ","65,532 ","20,165 ","16,734 ","16,200 ","17,482 ","13,028 ","32,098 ","19,894 ","8,006 ","11,974 ","42,591 ","23,834 ","26,297 ","25,635 ","9,309 ","11,748 ","4,753 ","4,970 ","6,045 ","9,634 ","9,736 ","11,446 ","17,693 ","30,878 ","26,603 ","12,747 ","12,305 ","12,861 ","11,816 ","11,674 ","9,045 ","8,590 "
2018/8/10,"6,598 ","16,229 ","47,223 ","56,375 ","26,368 ","14,740 ","12,419 ","4,087 ","3,033 ","13,781 ","2,186 ","4,241 ","7,109 ","8,749 ","12,406 ","17,979 ","16,847 ","5,383 ","9,209 ","3,434 ","7,928 ","8,450 ","5,539 ","28,668 ","2,452 ","11,110 ","12,471 ","17,410 ","22,092 ","17,022 ","10,099 ","30,440 ","19,770 ","35,265 ","32,267 ","9,797 ","38,561 ","29,119 ","26,108 ","21,857 ","28,068 ","190,171 ","45,858 ","27,630 ","24,509 ","29,204 ","33,322 ","31,192 ","25,839 ","12,500 ","32,420 ","8,055 ","9,084 ","18,720 ","5,564 ","4,151 ","3,098 ","11,252 ","10,105 ","7,092 ","36,846 ","8,913 ","14,980 ","7,730 ","22,803 ","22,126 ","30,645 ","51,616 ","41,565 ","28,013 ","31,524 ","86,033 ","23,168 ","35,071 ","45,288 ","27,901 ","73,950 ","21,296 ","17,722 ","16,071 ","20,735 ","13,601 ","35,921 ","21,539 ","8,701 ","13,017 ","43,957 ","30,892 ","27,441 ","27,823 ","9,028 ","12,333 ","4,866 ","5,284 ","6,560 ","9,758 ","10,708 ","11,796 ","18,971 ","32,834 ","28,616 ","13,569 ","12,784 ","13,559 ","12,233 ","12,263 ","9,549 ","8,863 "
